dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0.0,-14.59040157,3,251.032,0.007570143,0.000108769,-1.339133855,204.985616,0.867843686,0.8282377
0.0,-16.08844356,3,162.124,0.001141701,0.000107603,-1.705147855,185.4638017,1.013445538,0.980598798
0.0,-21.3832495,8,815.389897,0.006959941,8.92e-05,-0.629906187,788.9489638,2.423605082,2.093213854
0.0,-22.51431572,8,629.26719,0.007616869,0.000106154,-0.459789465,724.3529625,2.571940194,2.476774963
0.0,-19.87584692,8,911.27001,0.007621471,8.5e-05,-0.210230865,848.0035218,2.248122956,1.911370054
0.0,-25.18742869,8,897.3848,0.00764794,8.32e-05,-0.791178587,869.7062984,2.966013461,1.953819222
0.0,-28.17487959,8,630.6608,0.007934208,9.89e-05,-1.014609948,802.3264606,3.331330159,2.359946681
0.0,-22.1762327,8,1179.38762,0.006643817,5.18e-05,-0.495029088,989.2573204,2.575923011,1.376978043
0.0,-23.54080358,8,722.944,0.008580098,0.000106208,-0.652350448,824.4365681,2.504103222,2.33298732
0.0,-29.21109522,8,597.290388,0.001923731,8.72e-05,-0.405386902,590.7308049,0.993551077,0.961775784
0.0,-32.40013789,8,330.566388,0.004725485,0.000166708,-0.654017236,514.1996042,1.134851845,1.129741887
0.0,-35.08518151,8,583.4162,0.007645258,0.000217538,-0.844647689,640.0078397,1.681594482,1.659580916
0.0,-35.11136584,8,583.4162,0.009696807,1.68e-05,-0.84792073,641.737144,1.518474718,1.509558426
0.0,-38.85747557,8,316.6922,0.009440089,0.000152409,-1.166184446,559.4802201,1.917919381,1.895277023
0.0,-38.87601105,8,316.6922,0.002362631,0.000217057,-1.168501382,561.2917227,1.73667052,1.735204359
0.0,-31.36796518,8,865.41902,0.008672405,9.61e-05,-0.460245648,767.2242176,1.403638304,1.005424408
0.0,-31.39854256,8,865.41902,0.005158654,6.05e-05,-0.46406782,768.2714112,1.263010579,0.890693045
0.0,-17.84696486,8,900.87282,0.004116589,2.33e-05,-0.396620608,804.5979544,1.420131707,1.152503116
0.0,-20.67087306,8,1004.94682,0.006691107,6.8e-05,-0.373859132,949.6255339,2.228735491,1.825644329
0.0,-18.50184294,8,991.06282,0.00851313,8.8e-05,-0.513480368,891.6298716,1.88182909,1.597185544
0.0,-30.76865889,8,863.858,0.001015182,6.33e-05,-0.338332361,644.7598435,1.693765467,1.566756002
0.0,-33.65805203,8,597.134,0.008365564,0.000138509,-0.549506504,572.2194712,1.981343805,1.822546129
0.0,-28.6751802,8,1145.86082,0.004907154,6.51e-05,-0.156897525,752.6212654,1.508339039,1.358327929
0.0,-36.60831687,8,671.324,0.004690785,8.31e-05,-0.586789608,664.417964,1.619087896,1.585221237
0.0,-40.41398169,8,404.6,0.003123655,9.24e-05,-0.912497711,563.900855,1.670643993,1.651336452
0.0,-32.99646681,8,953.32682,0.007746101,2.06e-05,-0.215558351,800.8976552,1.433928172,1.372447925
0.0,-32.96323246,8,953.32682,0.006102751,6.63e-05,-0.211404057,813.0922418,1.014442448,0.976534823
0.0,-27.76050279,8,685.235,0.005000987,0.000109834,-0.494562849,639.4275546,1.392054883,1.343929514
0.0,-30.4617032,8,418.511,0.005129638,5.29e-05,-0.6822129,566.2770459,1.615952739,1.59025874
0.0,-25.66897519,8,967.23782,0.004611528,6.74e-05,-0.313371898,750.8448806,1.24737584,0.99106612
0.0,-28.49869729,8,851.338636,0.008789132,7.95e-05,-1.288837161,860.1823277,2.264007283,1.851038953
0.0,-18.6245482,8,888.184,0.008793115,8.28e-05,-0.514818525,799.0873208,1.812436907,1.661320162
0.0,-21.32973495,8,621.46,0.01056666,5.49e-05,-0.702966868,716.7634344,2.452723209,2.425105826
0.0,-35.09850613,8,847.104,0.002895735,3.47e-05,-0.327313267,617.2858043,1.335357536,1.15692268
0.0,-31.38302788,8,1129.10682,0.00627754,6.5e-05,0.056871515,788.2368001,1.140434803,1.080523765
0.0,-24.70142126,8,897.3848,0.006420841,5.83e-05,-0.730427657,969.2587772,2.718479263,1.743421053
0.0,-27.79093588,8,630.6608,0.007621594,3.71e-05,-0.966616985,882.1011782,3.169099798,2.18089138
0.0,-21.53051824,8,1179.38762,0.008686128,5.93e-05,-0.41431478,1078.230075,2.391103183,1.101798671
0.0,-20.22171671,8,618.87,0.009941839,0.000166536,-0.613214588,736.8747164,1.478046714,1.349929834
0.0,-21.08961672,8,709.06,0.009033599,8.25e-05,-0.75670209,835.1920197,2.133375093,2.01135007
0.0,-27.76474989,8,851.338636,0.00913107,9.31e-05,-1.197093736,924.7533991,2.083301475,1.862934343
0.0,-17.92643051,8,888.184,0.007686125,6.97e-05,-0.427553814,878.1774086,1.248999978,1.092200741
0.0,-20.72091022,8,621.46,0.003544657,8.07e-05,-0.626863777,802.1790972,1.68228291,1.682699971
0.0,-38.05648051,5,154.0000063,0.001147702,0.003166438,-1.369096103,154.3830337,1.178274382,1.166373656
0.0,-34.41838591,5,139.9196223,0.004240288,0.002000094,-2.541077182,183.0393303,1.022178758,1.019543154
0.0,-34.26097205,5,227.8194863,0.007087926,0.001660639,-2.496794409,220.1879299,1.121381239,1.117494684
0.0,-46.01701937,5,400.989,0.006669624,0.000403491,-2.307603874,182.5011502,1.008199028,0.937954018
0.0,-45.71158252,5,226.457,0.003915944,0.000269157,-2.287716503,184.9782674,0.968236453,0.950477054
0.0,-14.8870065,3,293.844,0.008098402,0.000185152,-1.337002166,185.763546,0.945659414,0.824357394
0.0,-13.86564375,3,340.84447,0.007134852,4.95e-05,-1.032214582,202.108288,0.946394267,0.808826352
0.0,-18.90021044,3,289.521,0.003897497,6.08e-05,-1.277736814,205.8214975,0.981996788,0.886304587
0.0,-19.32738823,3,302.521,0.006551058,3.67e-05,-0.479129409,186.1107484,1.266055953,1.136065875
0.0,-21.17817282,3,206.981,0.004730597,8.45e-05,-0.805057607,166.8669927,1.541144137,1.452932834
0.0,-20.12368162,3,255.61,0.003322416,4.25e-05,-0.546227208,178.5793692,1.015927476,0.992590183
0.0,-14.03776318,3,163.221,0.003865094,0.000279758,-1.32592106,180.3288568,0.86009496,0.82986888
0.0,-19.14348511,3,390.411,0.006598349,2.71e-05,-0.323495038,186.0718361,1.357271401,1.038068493
0.0,-21.2173964,3,294.871,0.009997643,9.5e-05,-0.7237988,166.9996668,1.695802341,1.401412838
0.0,-20.02557482,3,343.5,0.001543873,1.19e-05,-0.419191606,178.5038723,1.242759596,1.142474456
0.0,-15.31010158,3,206.578,0.006781184,5.91e-05,-1.512367194,192.1221004,0.950488227,0.911686042
0.0,-14.35181388,3,253.57847,0.0035557,9.33e-05,-1.228604626,208.7524893,0.932796744,0.876802917
0.0,-18.90866388,3,202.255,0.004943712,4.45e-05,-1.31488796,208.8403401,0.89291562,0.828945459
0.0,-10.08834529,3,237.971595,0.009369579,9.62e-05,-0.145115096,230.7138826,1.531263051,1.288944867
0.0,-11.66149706,3,320.9444,0.004057109,9.21e-05,-0.44149902,252.0200394,2.086154939,1.250364213
0.0,-12.15048857,3,276.4904,0.006091488,0.000131753,-0.537829523,245.9613661,2.284002568,1.496658524
0.0,-11.62660714,3,323.4014,0.009453388,7.57e-05,-0.561535713,256.2960411,2.260045116,1.290102363
0.0,-10.92882287,3,233.724,0.002811235,5.74e-05,-0.286607624,237.8322212,1.507748884,1.426792548
0.0,-10.88973418,3,236.181,0.001740375,4.44e-05,-0.405244727,242.415959,1.761473053,1.674343664
0.0,-9.937264033,3,329.264,0.003845349,3.54e-05,-0.247088011,266.8336277,1.465247391,1.318498698
